Date,Review,Reviewer,Ratings,Userprofilelocation,Userprofilelocation,Parkname,datasource
7/15/2019,To much money to put your own kayak in! They want money for everything!! Pay to enter park pay to put your own kayak in and they won't bring it back you have to have two vehicles and Oark one at end ???,brenda m.,1 star rating,"Columbia, TN","Nashville, TN",Weeki Wachee Springs,yelp
7/15/2019,"My review is for Weeki Wachee Springs Park/Buccaneer Bay only - not the river kayak.  I have mixed feelings about my experience here.  I brought my husband, nephew and mom for a day of relaxing by the water.  I realized with it being summer time, it'd be packed with families so it was no surprise when we were met with a crowd on a Wednesday.  Thankfully we got there early enough before they send out the dreaded text message to everyone waiting in line saying they will have to try again tomorrow.  When they fill up, they turn people away.  GET THERE EARLY AND SIGN UP TO GET AUTOMATED TEXT MESSAGES.  I absolutely loved the mermaid show.  Even my 16 year old nephew loved it.  I was super impressed that these ladies can be under water for so long with nothing but a small nozzle and line to breath from while lip syncing to a track.  The water slides were the best part - the lines weren't too long and plopping into a freezing cold spring definitely perked us up a bit.  I liked that they had ample beach chairs to claim and spots up on a small hill with shaded picnic tables to hide from the sun.  They also offer rentals - lockers, beach chairs, half shell tent canopies etc.  Do yourself a favor and rent a locker.  Being the overly trusting person that I am, I left our GoPro in our cooler bag and it got jacked.  Of course, it's my own fault, but do not trust any of those innocent looking families for a second!   Another bummer was the ""lazy river"" which they make you pay $7 more for.  You literally float around the perimeter of the main pool area which is all of 5-6 minutes and you need to paddle.  You don't get to see any of the river or flip out of the tube for a swim.  Lifeguards are blowing whistles nonstop so try to sit far enough away from them or you'll have ringing in your ears the rest of the day.  Another issue was the closures of many of the natural exhibits in the park because they are under renovation.  This is not disclosed when you enter the park.  Do not waste your time walking all the way over there because you'll have to turn around and walk back.  We asked a bartender when they expected it to be done and she had no idea.  I heard the kayak experience is one of the best of all the springs so I would come back to do this but would skip the park unless you are OK with everything I mentioned above.  Make sure to book a kayak online well in advance - they do not accept walk ins.",Elizabeth R.,3 star rating,"Miami Beach, FL","Oviedo, FL",Weeki Wachee Springs,yelp
7/16/2019,"Bill Baggs offers a great escape from the busy beaches of South Beach. Entrance is $8.00 and parking is ample. There's a lighthouse cafe, a lighthouse and walking trails to visit. The beach itself boasts clear waters (most of the time) and easy access from the parking lot. You can also rent bikes and other equipment. There's several sheds , benches and grills as well. If you like snorkeling, you can find fish and other sea life nearby to the lighthouse rocks. It's shallow enough where you won't feel awkward or in danger if you are a novice. On weekends, it gets pretty busy so plan accordingly. You may have waits at the showers and restrooms. All in all a great place to visit.",Jennifer L.,5 star rating,"Miami, FL","West Palm Beach, FL",Bill Baggs Cape Florida State Park,yelp
7/16/2019,We had so much fun. The spring is cold but worth going in. We camped and went kayaking.,Kristina L.,5 star rating,"Boca Raton, FL","Green Cove Springs, FL",Wekiwa Springs State Park,yelp
7/17/2019,We are from Florida and camp regularly. Though the state park was beautiful the ticks were outrageous. Even in the cleared out part of our camp ground we had ticks climbing on us. We would have throughly enjoyed our stay if it wasnt infested with ticks.,Tamra F.,1 star rating,"Clermont, FL","FL, FL",Faver-Dykes State Park,yelp
7/17/2019,"Fort Clinch is absolutely beautiful! The trees on the drive in are stunning and welcome you to the park perfectly. Along the drive, you're likely to see deer off on the sides making it even better. We loved that the beach was never crowded during our stay. It was even pretty rare for people to walk by. Shelling is pretty great here too, and sometimes you might be able to catch a surfable wave. The downside of our visit was the tent campsites. They're miserable. There's no trees or shade. These were some of the worst tent sites I've seen out of many different states and climates, including other Florida state parks. Being from the Deep South, trust me when I say I'm used to bugs. These mosquitoes and ants will tote you away if you're not careful. It's not an enjoyable experience. However, the bath facilities are great with hot water. Overall, the tent sites weren't enough to take away too much from the beauty of the park itself.",Dani S.,4 star rating,"Phenix City, AL","Louisville, KY",Fort Clinch State Park,yelp
7/17/2019,"Through some persuasion from my biker friends, I found myself saddling up and riding a road bike for the very first time. The trip was set and we eventually rode the Palatka to Lake Butler State Trail; a long continuous miles and miles of paved asphalt. The paved road stretches 27 miles and more one way. It definitely feels like you are riding forever. Verdict:What an awesome trail; perfect and ideal for biking, running or walking. And depending on how far you ride, you will definitely pass through some beautiful sceneries while passing through Palatka, Florahome, Keystone Heights and Lake Butler. Each mile is well marked via Mile Markers. Paths are nice, wide and clean. All in all, while I enjoyed road biking for the first time, but being an avid mountain biker, my heart still belongs to the woods and trails. But road biking is definitely a great Option B. I want to note that the address I've provided for this trail is the Twin Lakes Trailhead; the place has ample parking space and restroom facilities. This address is also known as the Twin Lakes Community Park. #HappyTrailsToYou",Jay P.,5 star rating,"Jacksonville, FL","Louisville, KY",Palatka to Lake Butler State Trail,yelp
7/18/2019,"Came out here to experience SUP Yoga on the Oleta River and I couldn't have left more fulfilled! It is a state park, so bare in mind the admission fee. Since I was a single driver, it was only $4 for me to enter with my car. There's not much road to this park, so know that you'll only encounter one large parking lot. From there, you can engage in various activities namely kayaking and paddle boarding. Rentals for either are located on your right-hand side as you're driving into the parking lot area. The person hosting the class took care of all the rentals for us, so I'm not sure what the process is. It's convenient though since the launch point is located rather close to the parking lot. The river through the mangroves is such a serene and relaxing atmosphere! Unfortunately, I just came from the virtually bug-less Everglades, so in my mind, there wouldn't be any mosquitoes. WRONG! I got eaten alive, so make sure to always have that bug spray and/or peppermint handy! So far, I display no signs of having contracted West Nile. Fingers crossed!",Jessica S.,5 star rating,"San Diego, CA","The Colony, TX",Oleta River Outdoor Center,yelp
7/18/2019,"We absolutely loved it here! Worth the drive coming from Destin in order to visit! Next time we go to Destin we will be making an overnight trip to the area to spend more time! The water was beautiful and yes, cold! 68 degrees. I hate cold water but still got in and enjoyed it!",Kristine C.,5 star rating,"Hamilton, OH","Northwest, Jacksonville, FL",Ponce De Leon Springs State Recreation Area,yelp
7/19/2019,"It costs $20 each plus $2 park fee to float down the Crystal River on a giant inner tube. They drive you to the start location and it's about a 2 hour float. The water is cold and crystal clear, and you just gently float along enjoying it all. We saw 2 gators so don't let your feet hang down for too long. It was about 95 degrees so the cold water was refreshing and the float was very relaxing. At the end of the float, park staff helps you out of the water.",Sherry J.,5 star rating,"Newark, DE","Tampa, FL",Rainbow Springs State Park,yelp
7/20/2019,"Throughout the United States, there are numerous forts that have significant historic value... and in Florida alone we have many; such as Fort Zachary Taylor in Key West, Castillo de San Marcos in St Augustine and Fort Jefferson on Gardens Key (Dry Tortuga).One of the coolest and most interesting forts/parks that I have ""never heard of"" is here on Fernandina Beach on Amelia Island (just north of Jacksonville). Over a thousand acres of pristine nature that just happens to include a Civil War era fort. The drive through the park is just gorgeous with tons of hanging most and plenty of shade trees creating a canopy over the roadway through the park. Along the sides of the roadway (Fort Clinch Road) there are numerous trails that can be seen that we saw plenty of hikers and some mountain bikes too. While driving Fort Clinch Road to the fort, we stopped at a couple points of interest.... we took in a quick view of the amazing beach and dunes (parking lot with boardwalks to the beach area) and we also stopped at a view point called Egan Creek Overlook. Seeing the Amelia Island Lighthouse, salt marshes and the creek were all just stunning. And then there is the actual fort... mind blowing... red brick fortress with so much to see from ammunitions storage, prisoner areas, cannons inside the walls and along the top too, soldier quarters, blacksmith shops, latrines, kitchens and all directly on a sandy beach and bordered with trees. I love that the fort trusts guests to walk anywhere and everywhere... see what you want and your own pace and there was plenty of personnel around if you had a question or wanted to learn a little history. After taking time to see the fort, the museum is free to tour. The museum has a great collection of Civil War tools and ammunitions, medical tools (for amputations during wartime), interesting photographs and plenty of knowledge. This was definitely a high-light to our impromptu trip to Amelia Island... so much more than just a fort.",Glenn G.,5 star rating,"Fort Lauderdale, FL","Merritt Island, FL",Fort Clinch State Park,yelp
7/20/2019,Nice bit of history. The drive to the fort is amazing! I would recommend visiting here.,Fran T.,4 star rating,"Boones Mill, VA","Port Charlotte, FL",Fort Clinch State Park,yelp
7/20/2019,We thought this place was beautiful. The water is so refreshing and very cold but you can warm up in other areas of the spring which helps. The staff is really nice We would definitely come back.,Melissa P.,5 star rating,"Clearwater, FL","Davenport, FL",Madison Blue Springs State Park,yelp
7/21/2019,Nice little park with knowledgeable guides giving talks. The underwater viewing area was really cool. One of the manatees came right up to the glass. Loved seeing Lu the hippo and the bird nests in the trees,Karen N.,5 star rating,"Miami, FL","Pembroke Pines, FL",Homosassa Springs State Wildlife Park,yelp
7/23/2019,"I've been to at least 5 springs in Florida and this one is my favorite! A lot more rocky then I remembered so make sure to bring water shoes! They allow you to bring in coolers and your own equipment like tubes and snorkels which I highly recommend bringing so you can see all the wonders under the water! On our way to the springs I was telling a story to my best friends daughters! Who we happened to take with us! I told them last time I was here I swam with a manatee and didn't even know it till it was in my face! Scary but beautiful creatures! Welp as we're going down the river for the first time that day this man passes me on a kayak, I was stunned because kayaks are not allowed up to this point but when I saw his vest it read manatee something so that's when I figured out that a manatee had just swam past us! That's right! I've swam with manatees twice!!! This time the manatee swam up and down a little and then right between my bf and I! Again I was lucky enough to have a snorkeling mask and got to see how close this manatee had gotten to me as well! This is a great place to go and relax and feel at one with nature! Cheesy but true @eatwanderandslay",Elissa I.,5 star rating,"Elk City, OK","Bradenton, FL",Blue Spring State Park,yelp
7/23/2019,"The water is beautiful! I can see my feet in the water. We must be on the wrong side, because it's a bit rocky and seaweed lines the shore, but just swim past it. The water feels so good and you shouldn't let that stop you. We overheard someone saying there's sand on the other side, but I don't think you can swim on that side. There's a $7 park fee when entering the beach area.",Marilyn S.,4 star rating,"Woodbridge, VA","Nashville, TN",Fort Zachary Taylor State Park Beach,yelp
7/23/2019,"Love this place and worth the wait in line. A good value for all you get. Do see the mermaid shows and take the boat ride plus use the beach for a cool dip. Water temp us 72 and it's refreshing! Tubing $7 extra for the day, water slides and flumes free. There's s tiki bar with 12 different beers for $4.25 each. And, of course frozen concoctions! A good family place.",Janice D.,5 star rating,"Northbrook, IL","Cincinnati, OH",Weeki Wachee Springs,yelp
7/28/2019,This is a terrific place to take your kids to make memories that will last a lifetime. I started coming here from Tennessee since I was 10 and have been back with my own children 30 years later twice so far. We LOVE the boat tour and swimming in 69 degree water is so refreshing! The old lodge is super awesome also serving classic drinks (nonalcoholic) and treats. I highly recommend stopping by for a relaxing day with the alligators and wildlife.,Chris D.,5 star rating,"Carrabelle, FL","Charlotte, NC",Edward Ball Wakulla Springs State Park,yelp
7/28/2019,"Interesting little state park.  First, get ready to pay $5 for entrance.   Please have correct change if paying by cash.  The park has limited cash on hand.  They do accept credit card - my saving grace.Second, the park has four features:   A paved walking trail;  sink holes; a waterfall going into a sink hole; and a small lake for kids to swim.   Typical trees - tall pines.   Third, the picnic areas were clean and neat as was the rest of the park.   Two problems.  One they were constructing new walking paths so construction was occurring.  And two, make sure they have had plenty of rain recently.  The waterfall was a trickle when I was there.",Robert D.,4 star rating,"Gulf Breeze, FL","Orlando, FL",Falling Waters State Park,yelp
7/28/2019,This beach is simply amazing and with CLEAN CLEAR water. If you are look for a beach to go to...go to this one!!! It's $6 per-car (2-6 people within),Rajai G.,5 star rating,"Houston, TX","Coconut Creek, FL",Henderson Beach State Park,yelp
7/28/2019,Not much to see but a monument and a few bathrooms.  The fishing area is dirty with trash in the water and on the shore. A battle re-enactment occurs the first weekend in March which could be interesting to check out but not sure why you would visit any other time.  It's too bad there isn't a spot to launch because then you could at least canoe/kayak down the St. Marks River.,Emily K.,1 star rating,"Tallahassee, FL","Coconut Creek, FL",Natural Bridge Battlefield Historic State Park,yelp
7/28/2019,"This state park came highly recommended during our FIRST week of camping in a brand new fifth wheel.  First,  the ranger was very curt with my husband and told him she assigned us a space rather than let us look around and find one we were comfortable with backing into. I told her prior to,  that we were rookies and had only been in pull thru sites this far.  The roads in the campground are very narrow with many trees and one had now left a permanent reminder on our camper.  Very narrow roads.  Not good for tall 5th wheels.  She could have advised me of that when I called.  Bathrooms were not clean.  NOT modern at all.  Never saw any one working there like we did in the other state parks.  No laundry facilities. Only recycling for cans,  not plastic,  glass,  etc.....No grass at campsite,  just mud. Lots of mud.  On the upside,  some beautiful deer joined us for coffee!! And the trail walk along the Santa Fe river was beautiful.  The exhibit about the CCC was very informative.   We won't be going back. I guess our idea of a great campground doesn't match with other folks!  Silver Springs State Park campground is Awesome though!!!",Anita S.,2 star rating,"San Francisco, CA","Pensacola, FL",O'Leno State Park,yelp
7/28/2019,"This place is pretty incredible all the way around. It is a water park built around a fabulous gigantic cold water spring. Clear healing waters at a chilly 74* year round.  The mermaid show has been going on for over fifty years and is world famous. They also have adult and children mermaid camp weekends   They are tricky to get into, you ha e to call one day in jan and pray you get through. It is totally worth it!  You have to really love the water and be comfortable in it, the sirens who tach don't mess around but it is a really great adventure!  Take the photo/video package of you can afford it, it's worth it!",Annette A.,5 star rating,"Delray Beach, FL","Fort Lauderdale, FL",Weeki Wachee Springs,yelp
7/28/2019,"Weeki wachee is a great place to go with the family it's $13 for adult and $8 for kids from 6-12 and you can be there all day swimming, seeing the shows, and going on the river cruise. Some of the park is shut down for maintenance and under construction but all in all it's well worth the trip you have to get there before 830, the open at 9, to get in. The waiting is the only downfall. But the wait and line is nothing compared to any of the Orlando parks. Make sure you bring towels and sunscreen and foldingchairs for buccaneer bay",Casen C.,4 star rating,"Brooksville, FL","Boynton Beach, FL",Weeki Wachee Springs,yelp
7/30/2019,this place was awesome!! would love to go back. 5$ just to spend day there and per vehicle,Mia A.,5 star rating,"Hahira, GA","Charlotte, NC",Mike Roess Gold Head Branch State Park,yelp
7/30/2019,Thinking it would be fun to visit this place I brought my family of four and signed up for text alerts upon waking up early in the morning. When I didn't receive a text we got in the car and drove over an hour only to find out the park was full. Asked the employee why I didn't receive a text and showed him my phone and he simply just showed me his phone showing his text message that he received. Again I showed him my phone with no text alert and he rolled his eyes telling me there's nothing he can do. We pulled away got some gas and called a manger who advised there is nothing she can do either. Would be nice if you could fix your text messaging system. My grade is an incomplete for the park and an F for customer relations.,John O.,1 star rating,"Arlington Heights, IL","Charlotte, NC",Weeki Wachee Springs,yelp
7/31/2019,"We visited Faver Dykes State Park campground recently (end of July) and were very disappointed with the experience. The 1.6 miles entrance dirt/sand road was pure torture, full of pot holes, which made our camper and truck filthy dirty and even caused the breakage of dinnerware inside the trailer.  We also had a trailer tire failure on the way back home of  a relatively new tire which I suspect may have been caused by all those pot holes causing tread separation.  Most of the camp sites were of plain sand which did not contribute to keeping the camper clean.  The tick infestation was also a nuisance, I found two on me despite avoiding all nature trails.  The bathroom and shower facilities were small, hot, and not kept in clean condition.  This is specially bad since one is forced to using them because the campground lacks sewer system (it does have a dump station but its use is only practical when leaving the park).In short we did not enjoy this visit and it will be our last.  we feel that if this park   cannot be made more suitable for humans it should be closed  down and make it an animal preserve strictly reserved for those species and save the Florida tax payers a little money.",H S.,1 star rating,"Wake Forest, NC","Saint Petersburg, FL",Faver-Dykes State Park,yelp
8/2/2019,"If you want a beach in key west, then go here! The prices are debt if you want a couple lounge chairs and snorkel equipment! Keep in mind that the water gets deep for the little ones, so renting a raft is helpful when out snorkeling by the rocks.",Nate R.,5 star rating,"Glendora, CA","Celebration, FL",Fort Zachary Taylor State Park Beach,yelp
8/2/2019,"This is a state park that you have to visit!! We went for the day from the Tampa area while visiting Florida and it was definitely worth the drive. We went on a Friday so we could do the extended glass bottom boat tour (the extended ones are only offered on Friday's and Saturdays) and it was so amazing! We saw a ton of wildlife (monkeys, gators, turtles, manatees, fish, birds) and the boat itself is so unique with the glass bottom. It was unbelievable how clear the water was and how much stuff you could see! Our tour guide, Kevin, was fantastic - he told us a lot of the history of the place and some fun facts/jokes. The park itself is also super nice! There are places to eat, walking trails, kayaking - a lot you can do! We didn't kayak this time, but it would definitely be a fun adventure with all of the animals & crystal clear water. The boat tour is worth it for your first time I think so that you can hear all the history and see all the wildlife easily. You can't beat the price either - at $25 per adult for an 1.5 hour extended tour, it's worth it! Park admission is $2 per person - so a great way to get outdoors, see some awesome stuff, and have a low budget for the day!",Emma D.,5 star rating,"Fairfax, VA","New Port Richey, FL",Silver Springs State Park,yelp
8/2/2019,"Fun, relaxing morning with the family.  Park staff were very polite and helpful.  Water is 72 degrees, year-round!  Rental rates aren't bad ($30 for a 2-person kayak).  $6 per car to enter the park.  Saw a baby alligator, several turtles, and some unique looking birds.",Ken M.,4 star rating,"Winter Garden, FL","Fort Lauderdale, FL",Wekiwa Springs State Park,yelp
8/3/2019,"I'm visiting Florida and had a great time at this park which was super affordable to get into (car of 5 for $6). I went swimming in the spring and then took the boat tour, which I enjoyed a lot more than I thought I would. I don't normally do tourist-y things like that, but I WANTED TO SEE A GATOR. Hugo (or Jeff, as he likes to be called on Tuesdays ;)) was a funny guide and very informative. The spring was cold (but I grew up in California, I'm used to cold water) but it was refreshing, and since we went early afternoon on a weekday, wasn't too crowded; there were a lot of people, but it didn't feel overwhelming at all. Thank you to everyone who keeps this park safe and clean!",Triana G.,5 star rating,"Mariposa, CA","Fort Lauderdale, FL",Edward Ball Wakulla Springs State Park,yelp
8/3/2019,"What a hidden gem! Everyone goes to Destin beach, Henderson beach, but this beach is worth visiting. It's beautiful, has natural trails, huge sand dunes, plenty of scenery, and calm beautiful waters. On a scale of 1-10, if Grayton is 10, Destin Beach is about an 8 when it comes to clarity. Definitely less crowded as there is a $5 parking charge and 16 miles up US-98. Some would say it's not worth the drive up and especially back, in traffic, but leave early like around 8am, enjoy it and come back down.",Tony T.,5 star rating,"Buford, GA","Saint Augustine, FL",Grayton Beach State Park,yelp
8/4/2019,"What a beautiful state park and facility! The beach is gorgeous, and for $6 you get air conditioned restrooms, showers, and pavilion access. You can also rent chairs and umbrellas for an additional fee. This section of the Emerald Coast is stunning.",Allison B.,5 star rating,"Mobile, AL","Tampa, FL",Henderson Beach State Park,yelp
8/4/2019,This is definitely a place to visit and say you did it......I like to go to a spring and relax this place was to regimented and I don't even mean the shows the wait to get in I understand .......but the secondary wait to really come in because the first one was only to pay so you wait an hour in the next line ......thheennn to wait in a third line just to get onto the beach and everyone mad dashes for spots......that's why I say do it to say you experienced it,Jasmin V.,2 star rating,"Hollywood, FL","Oviedo, FL",Weeki Wachee Springs,yelp
8/5/2019,"This park is a wonderful place for a day of outdoor fun. The park entry fee is only $5 a car. The waterfall is the tallest in Florida. It is the effect of water running into a very large, deep sinkhole. The size of the waterfall can vary pretty significantly with the flow of the water.   The streams of water were really small on the day of our visit. If you have the flexibility, go after a rainy period and the waterfall will be more impressive.  The park has walking trails throughout. The park has nice picnic areas that are clean. There is a playground near the large picnic area.  There is also a lake with a designated swimming section. It is in Florida, so they do have signs to warn swimmers about alligators.  This stop is a bargain at $5. We will definitely be back.",Summer C.,5 star rating,"Panama City Beach, FL","Sebring, FL",Falling Waters State Park,yelp
8/5/2019,Awesome park with plenty to do! When you enter the park ranger will give you a map with various hiking trails you can choose from. These trails range in distance and the map will guide you to the right trail for you. The gift shop is a little pricey on snacks and drinks so be sure to bring your own!,Dominick R.,4 star rating,"Lake Placid, FL","Gainesville, FL",Highlands Hammock State Park,yelp
8/6/2019,"We have been trying multiple beaches in Miami and this was definitely my favorite. I loved the almost white soft sand and quiet the beach was. The water was almost clear near the shore and the beach and water were clean, almost no seaweed in the water that day. It cost $8 to park, which is reasonable compared to north and south beach. There are also bike rentals and lots of walking/bike trails.",Anna C.,5 star rating,"Montreal, Canada","Miami, FL",Bill Baggs Cape Florida State Park,yelp
8/6/2019,"Loved this state park! Would come again if didn't live in California! We stayed in beach rv spot for two nights. Campsites were clean and had a great building in the middle with super clean bathrooms and showers. We saw some deer near the rv spots in the dunes. The drive in under the historical canopy was so beautiful. The entire park is so well maintained. It is a wonderful place. We lucked out and got to tour the fort on the first Saturday of the month which was a union re-enactment. So glad we waited! Loved having the mostly volunteer crew there to answer questions. The two historical park rangers run the events and I can't recommend it enough. It adds so much to the experience. Be prepared with the 2.50 per person in cash as they apparel often have problems with charge cards. We took the kayak tour with rangers John and Zack. Even though it rained most of the trip it was wonderful. They were very informative and helpful. We got to learn more about the history and wildlife while kayaking on the creek. We saw tons of different birds and paddled through the marsh. A highlight of our trip!We searched for sharks teeth on the beach by the fort, my son found a few small ones.. I didn't find any.  We had fun trying and the excitement of the hunt. The staff in the office were so helpful and knowledgeable. I think the rangers name was Jim. Overall just a wonderful experience.",Debbie H.,5 star rating,"Cardiff, CA","Tampa Bay, FL",Fort Clinch State Park,yelp
8/6/2019,"I've been to many beaches in the United States and this is my ultimate favorite thus far. I loved the warm/clear water, the spaciousness of the shoreline, how ridiculously uncrowded it was and the very peaceful surroundings. If you like seashells you can't miss this beach. There's tons (and I means tons) of shoreline shells. All shapes, colors and sizes. It's about a 10 minute walk from the parking lot to the beach. I highly recommend this destination if you're in the area.",Charles R.,5 star rating,"Sylmar, CA","Metrotown, Burnaby, Canada",Lovers Key State Park,yelp
8/7/2019,Wonderful family vacation! Highly Recommend staying here!,Cat O.,5 star rating,"Stuart, FL","Orange City, FL",Lake Louisa State Park,yelp
8/7/2019,"Pros: Crystal clear water (It's a Florida Spring!!) Prices Number of attractions (water slides, lazy river, mermaid show, boat ride, etc.)Cons:Very poor customer service Trash/litter So..people litter unfortunately. I myself picked up other people's trash while I was there. Most of the park employees I interacted with were extremely rude and appeared to not enjoy working there very much. One lifeguard at the water slide remarked, ""Oh look, another field trip group, I bet they all drown."" When we returned our umbrella, the attendant working the desk remarked, ""I don't need that umbrella on the counter,"" and just stared at my husband until he removed it. I would have given 5 stars if the customer service was better and if I saw an employee walking around picking up trash. Would we return? Yes. The food and rental prices were reasonable and the boat ride is included in admission. You must have a reservation. This was our first time visiting a spring and my kids had a blast. We love to snorkel and the water was so clear...we saw tons of fish and a few snakes.",Tiffany H.,3 star rating,"Sarasota, FL","Miami, FL",Weeki Wachee Springs,yelp
8/7/2019,"Excellent place to start for some Ybor City history, especially if this is your first time in the area. The museum has a lot of info in a small place. Take your time walking through the museum and I highly recommend watching the 20 minute movie as you walk in. There is also a tour of the ""Casitas"" included with your admission. This is definitely a must stop for anyone in the area.",Felix I.,5 star rating,"Tampa, FL","Orange Park, FL",Ybor City Museum State Park,yelp
8/8/2019,We went today and although it rained before we came it was so hot out. I highly recommend coming and we came in the afternoon on our way to Tallahassee!,G Y.,5 star rating,"Orlando, FL","Saint Louis, MO",Ichetucknee Springs State Park,yelp
8/8/2019,No 50 amp service so really not accommodating for larger campers. We stayed a few days. The lake is nice for boating with motors less than 20 hp but the swim area seems like your gator bait. The spots are a nice size with a good  nature buffer between spots. The lot we had was overrun by ants. I had to spend $25 down the street to get them out of our camper and out of our things. Restrooms need a/c but they were in good shape. Trails were flooded so couldn't really use them. Folks were very nice. A Ranger helped trim trees so camper could fit.  It was just a fair stay. I would not go back because of lack of 50amp service.,John B.,3 star rating,"Saint Johns, FL","Oviedo, FL",Lake Manatee State Park,yelp
8/8/2019,"Went with our 6yo and 3yo girls. It was a blast. Was our favorite of the 4 Springs we visited. The other 3 were Alexander, Rainbow, and Silver. The girls enjoyed the mermaid shows. We watched both of them. Make sure you arrive to the park before they open on the weekends, when they get full they don't let anyone else in. Cost was $13 per adult. 5 and under free. We went on a Wednesday to make sure there was less of a crowd. Arrived at 930am and by noon the place was packed. You can bring a cooler with food and beverages which is what we did. They have a restaurant and bar that sells alcoholic beverages as well as a gift shop if you want to spend some money. There's 3 different slides and a huge swim area in the springs. You have to be 42"" to go down one of them not sure of the others. Water is at a constant 72 degrees very nice on a hot day. There's a floating jumping dock they have over the deep end which is about 20ft deep. You can see straight down to the bottom. There's stairs to get on the dock but you have to swim out to the deep end to get on. Kids can get on as well. Our kids were jumping off, they had on floaties. There's stairs to get in springs and a big shallow end which is about 2-3ft.  There's also a separate kiddie pool which was nice for our kids to play in with a small slide and a seating area, it's fenced off which is nice as well. Along the spring there are lawn chairs and beach sand first come first serve seating. There's also a 30 min river cruise on a boat max capacity 30 which fills up quickly. So head over there as soon as they open to book your reservation. Fills up super quick. Overall it was an excellent experience. We all enjoyed very much. Would definitely return.",Stephen N.,5 star rating,"Lake Worth, FL","San Francisco, CA",Weeki Wachee Springs,yelp
8/9/2019,"This trail is absolutely beautiful. Overlooking Paines Prairie, it gives you a feel of how Florida used to be before urbanization.",Edward B.,5 star rating,"Gainesville, FL","St. Augustine, FL",Gainesville - Hawthorne State Trail,yelp
8/10/2019,"Great place to visit.Stuff was super nice and well informed.It is a beautiful area to visit, especially if yod'd like to see Manatees.There is an underwater exchabit where we were finally able to see the Manatees,not just the gray back or the snaut.We also seen alligators.A huge hippopotamus, actually out of the water.Lots of beautiful birds.The Spoonbill Roset's exchabit was amazing,they were not scared at all from us.We were able to take some amazing pictures.We had a wonderful time walking around the park.Don't miss out on that great experience if you are in the area!",E J.,5 star rating,"North Port, FL","Historic Uptown, St. Petersburg, FL",Homosassa Springs State Wildlife Park,yelp
8/11/2019,"Wow. Some people really expect a lot for $1. That's what it cost us to enter. $6 per vehicle, and we had 6 in the vehicle. Apparently there is a big to-do because when the state took over, they took out the diving platform. The Audacity! Of making it safer for all, and making SEEING the actual spring priority over a diving platform you could experience at any public pool. (The diving platform was over the deepest part, which is the spring itself, making snorkeling over the spring impossible with people jumping off the platform onto your head.)Love the convience store. Not only do they sell soda and snacks and hot dogs, but they rent tubes, life vests and such to bring your Blue Springs enjoyment to the next level. It's just a swimming hole, but still well worth $6 per vehicle. In fact, I think they should increase the admission fee to help fund sprucing up the boardwalk. I don't think they should reinstall the diving platform. I have not stayed at the campground, but could see how my rating might be less if I did. No privacy from day parking area. The water is cold, like all the springs in the area. But the water is truly blue and beautiful. Very happy there is no drinking, like at Ginny Springs. I won't be going back to Ginny Springs soon because even though floating down the river is fun, it isn't fun with the stupid drunk college kids and the fog of pot that permeates the air.",Michelle C.,5 star rating,"Miami, FL","Greenville, NC",Gilchrist Blue Springs State Park,yelp
8/11/2019,"Really neat little piece of Florida Wildlife. You can get through the whole park in a few hours so I wouldn't say it's an all day thing, but definitely great to learn and see some Florida wildlife, especially for children or those who aren't from here. Staff was very helpful upfront. Bring a water bottle though, in the summer it's HOT HOTT HOTTTT and theres no swimming in the spring here.",Niki W.,5 star rating,"Central Business District, Orlando, FL","Coral Gables Section, Coral Gables, FL",Homosassa Springs State Wildlife Park,yelp
8/11/2019,"How can you review nature ? We came here with a friend while vacationing in Florida . This park charges by the car, in which we paid $5. This park is located about 10 minutes away from a bustling community college , you would never guess it though. It's hidden on the left side of the road. As soon as we drove through we were engulfed by REAL Florida scenery , native fauna and flora . My friend Sam had a paddle board and kayak already which saved us some cash, but they have kayak rentals starting at $18 an hour then $4 per 15 minutes .. not too bad in comparison to some parks ( which we're charging $50 from the get go). The park offered some pretty scenic trails, picnic tables , a little museum and a weigh station . The gift shop , which was also the kayak rental shop , they had a baby sea turtle in a tank outside the shop, which was fun for the kiddos to see, the attendant at the shop was very knowledgeable and kept us in the loop about the weather and upcoming storms; what time to return etc. The bathrooms could've been a little cleaner for my liking, but you get what you get when you're at a state park, right?  They offered a complimentary trolley service to and from the park to the beach (operation times were 10am-4pm).We ended up kayaking and paddle boarding with the kids for about 1.5 hours, swam and came back to continue to the beach for the rest of our duration. 2 parks for $5 . Heck yes and overall a memorable time :) the kids got to see sea turtle nests and experience the Atlantic Ocean .Overall amazing visit . Thank you",Andrea Y.,5 star rating,"Las Vegas, NV","Fort Lauderdale, FL",John D. MacArthur Beach State Park and Nature Center,yelp
