Date,Review,Reviewer,Ratings,Locationusergeo,Statename,Country,parkname
12/29/2020,this is a great little area to walk.  close to marco island.  easy walk for children and adults.  Can do the whole walk in less than an hour.,virginiahome64,5.0 of 5 bubbles,Richmond,Virginia,United States,Fakahatchee Strand Preserve State Parktripadvisorreviews
2/19/2020,"Florida's largest state park should not be missed!The 0.6 mile Boardwalk is located on Hwy 41/Tamiami Trail and leads you through a cypress swamp where you can see what the Everglades looked like before European settlers. In winter, you can see bald eagle and osprey on their nests. Many birds here. Alligator pond at the end of the boardwalk is a great place to sit quietly and wait for the birds and animals to reveal themselves. The slower you walk and the quieter you are, the more you will see. Your $3.00 donation per person maintains the boardwalk.There is another section of the park accessible from Hwy 29 to the north of the Everglades City turnoff. You can drive 6 miles on the unpaved scenic road with several places to stop and hike along the way. Stop at the small visitor center to get a map and advice on where to hike. If you're really lucky, you may see a Florida panther or black bear.",GiselaZD,5.0 of 5 bubbles,Wisconsin,Wisconsin,United States,Fakahatchee Strand Preserve State Parktripadvisorreviews
3/25/2019,"This shaded boardwalk near Everglades National Park has Snakes, egrets, plants and more! Nice place for an afternoon walk. ",lchUsa,5.0 of 5 bubbles,United States,United States,United States,Fakahatchee Strand Preserve State Parktripadvisorreviews
3/12/2020,"There is a trail to Florida’s highest waterfall, wonderful to walk down the steps to the bottom to see the falls and sink hole.  We continued our walk to the pond and swimming area (with facilities).  Though we did not stay there, there is a small cmapground.",tawny1956,5.0 of 5 bubbles,Millsboro,Delaware,United States,Falling Waters State Parktripadvisorreviews
3/17/2021,"Very beautiful park. Easy walking trails. The facilities are clean, and there’s ample picnic areas. The butterfly garden was completely trashed, not sure why, given we came here in the Spring. $5 entry fee.",Jessica K,4.0 of 5 bubbles,Tarpon Springs,Florida,United States,Falling Waters State Parktripadvisorreviews
6/14/2020,Nice park with some history realted to it. There is a nice butterfly garden that was done as an Eagle Scout project. The falls are a short walk and are wheelchair accesible. You can look at the falls from the bottom or above the. There is aso a nice camping area that is on high ground. Not far from the I-10. There is also a short walk to the sinkhole area.,sskroll,4.0 of 5 bubbles,Orlando,Florida,United States,Falling Waters State Parktripadvisorreviews
2/15/2020,"We visited Falling Waters a day after heavy rains had moved through. We were not disappointed as the waterfall full! We enjoyed soaking in the relaxing sights and sounds around the falls on the crisp morning. We also hiked up to the lake and used the new boardwalk system. For those mobility impaired, the new path gently winds down to an overlook over the falls. We love this place and look forward to our next visit! ",TrailTrekker15,5.0 of 5 bubbles,Tallahassee,Florida,United States,Falling Waters State Parktripadvisorreviews
2/12/2020," I enjoyed visiting this park. The parking lot was big enough and easy to find. Many families were having picnics on this summer day. As I started down the wooden path it was easy to walk on with trees on both sides, it made me feel like I was in the forest. They were building more walkways so one path was taped off for safety. As you walk along the path, it winds around and then you see the highest waterfall in Florida. It was interesting to read about the underground spring that feeds the waterfall and the sinkhole. I also saw the area where you can swim and fish. There were many picnic tables and outdoor facilities.",DayTrip49521792185,5.0 of 5 bubbles,Pensacola,Florida,United States,Falling Waters State Parktripadvisorreviews
12/30/2019,"I have lived in this town all my life and have  been to Falling Waters enough times that I could give tours. I love this small state park.  It is far enough away from civilization that the only sounds you will hear are the long leaf pines blowing in the breeze. If it is a day with not a lot of people (which is often) you might even get a chance to catch a deer or dozens of other citizens of the park. The park is also full of human history from being the escape homes for the native americans when General Jackson ravaged through the south killing all the Indians he could fine to the only oil well drilling spot in the early years of the county.  On the negative, the circle trail (around the sinkholes) is totally shut off by walkways and stairs that have been broken and damaged by weathering and the state has not seen fit to fix it yet.  But again, there are several walking trails, a camping site for campers, and a swimming hole for entertainment. Even without the circle trail, I still love to come here and just absorb the Florida woods and visit the highest (deepest?? lol) waterfall in Florida.",Rebeccaatthewell,4.0 of 5 bubbles,Marianna,Florida,United States,Falling Waters State Parktripadvisorreviews
11/13/2019,We really loved the layout of this park. Very roomy spots and far from each other. We had site 12 and was great. We did not get to enjoy the park as it was a quick overnight stay. Definitely will hit it again in our camping travels. Arrived late but still grilled a delicious dinner.,Villarrubiatravels,5.0 of 5 bubbles,Ocala,Florida,United States,Falling Waters State Parktripadvisorreviews
10/10/2019,"Had lunch with my sister and brother-in-law at Baileys in Chipley.  They were telling me about the State Park and how nice it was.  I had never been to see the Park and they wanted to show me the waterfall.  We were told by the person at the entrance that because of the draught there was no water, so we didn't have to pay the fee.  We rode through the Camp-ground and there were several campers.  The park is beautiful and I would like to go back after we have rain.",enjhedbawny,4.0 of 5 bubbles,Panama City Beach,Florida,United States,Falling Waters State Parktripadvisorreviews
9/17/2019,"They are in the process of restoring the boardwalks etc. since the hurricane, and this is a peaceful location and worth the trip, especially in the morning when there are few people, it's cool and the wildlife is busy.  The boardwalk through the forest is so nice and there's a small lake with beach area for swimming and picnic areas in several places.  The waterfall can be a trickle or flowing heavily depending on the rain levels, but it's impressive to look down in to the sinkhole the water disappears into regardless.  They've done a great job cleaning up the tremendous damage from the hurricane.",Osprey 7,5.0 of 5 bubbles,Lake Mary,Florida,United States,Falling Waters State Parktripadvisorreviews
9/7/2019,"My wife and I visited Falling Waters State Park on a hot Saturday. The park is being repaired and upgraded; however, it did not have a major impact on our experience. We hiked down the sinkhole. The waterfall was dry on this day due to the lack of rain. The sinkhole was very impressive though and very deep. I have seen a number of sinkholes in Florida, but never one with such smooth sides and quite so deep. We hiked up into the pine woods and past the lake. There were tons of butterflies of many different species. I have never seen so many types of butterflies out in nature! We also had a close encounter with a doe who stopped nearby so we could get pictures. This is such a beautiful place!",TrailTrekker15,5.0 of 5 bubbles,Tallahassee,Florida,United States,Falling Waters State Parktripadvisorreviews
8/27/2019,"HANDS DOWN- the most friendliest Camp Hosts that I've met to date! Kim and George are a pair to be acknowledged!  They went out of their way to help me setting up my rig (tight space FOR ME to maneuver)  I had Siye #24 (next to Camp Host site)  It was a great site, level, deep and far away from everyone else!  Water/Electric on site. DUMP STATION upon exit. Some shade. Lots of wildlife to see/hear such as:Hawks, Blue Jays, Cardinals, Mocking Birds and butterflies - let's not forget the squirrels too! (BE WARNED- lots of those little German/Asian roaches) arghhhhhhh!!The Falls were TRICKLING! (sad) Lots of butterflies in the garden and the new/improved Falls Path/walkway is underway (construction)Definitely plan on coming again - even if it is to visit my newly found friendly Camp Hosts!1 Kim and George.",prrum007,5.0 of 5 bubbles,Tallahassee,Florida,United States,Falling Waters State Parktripadvisorreviews
7/9/2019,"Very small campground, but worth the stay...water/elect. only with a dump station. When we arrived, our site was occupied and with no signs of anyone showing up.  The park manager was very nice and he gave us the camp host site with full hook up for our 4 day stay.....  With the falls within walking distance to our campsite was a great treat.  They have a lake/beach area also on property for swimming.  So I would rate this attraction a Florida gotta see.",Winnebago2010,4.0 of 5 bubbles,Boca Raton,Florida,United States,Falling Waters State Parktripadvisorreviews
5/18/2019,"Went for a weekend trip and was so disappointed we didn't even stay. The pictures on ReserveAmerica were completely misleading and the campsites were right on top of each other. It would have been fine if we were in a trailer like everybody else, but tenting would have been horrendous! Also, there was no indication on the website that the walkways around the waterfall were under construction.",VitaBrevis_82,2.0 of 5 bubbles,Pensacola,Florida,United States,Falling Waters State Parktripadvisorreviews
5/8/2019,been here many times nice place for a picnic or just a hike down one of the trails to get away from busy life for a while ,skeleton76,4.0 of 5 bubbles,Chipley,Florida,United States,Falling Waters State Parktripadvisorreviews
5/7/2019,Our first visit here. This the real Florida. Delightful walks to the highest waterfall in Florida as well as to the nearby small lake and swimming area. Very quiet park. Most spots can accommodate a class C well as well as a pop up.  A good variety of sites can handle a class A. Nice shaded sites. All sites are close to the bathrooms. Very clean.,Terry M,5.0 of 5 bubbles,Old Town,Florida,United States,Falling Waters State Parktripadvisorreviews
5/5/2019,"Beautiful area , I loved the boardwalk , but many areas were not accessible due to hurricane Michael’s destruction .    The waterfall didn’t impress me as I had expected it to , and the bottom observation was also closed , so we couldn’t get a good look into the depth of it. ",FloridaVacation_Gal,3.0 of 5 bubbles,Lehigh Acres,Florida,United States,Falling Waters State Parktripadvisorreviews
11/8/2020,"We have passed signs for this state park for years and finally decided to pick up a drive-thru lunch nearby and eat at the park during a recent road trip. The park is very close to I-10 in Chipley. There was a $5 fee (per vehicle) and the park was very well-maintained.We enjoyed a calm, peaceful look at Mother Nature with a short walk (on a very well-built ramp/path) to the waterfall. There are upper and lower views of the waterfall and sinkholes. A mother deer and fawn walked right by us and we enjoyed watching them for a long time. We didn’t go to the lake but the area we visited had picnic pavilions, a playground and restrooms. This will become a favorite stretch and walk stop for us on future trips to Panama City Beach, FL!",Twaby,5.0 of 5 bubbles,Albany,Georgia,United States,Falling Waters State Parktripadvisorreviews
1/13/2020,"The women’s restroom was spotless! It hadn’t rained for awhile, so the falls were not spraying much. One could see the bottom where the water exits underground. The ferns around the sinkholes were pretty. Not much was blooming in January. Saw many birds.",McHove,4.0 of 5 bubbles,Valdosta,Georgia,United States,Falling Waters State Parktripadvisorreviews
5/30/2019,"This park is built around sinkholes and boasts that it is home to the highest waterfall in Florida. It is truly a quaint little park that has a nice walking trail as well as picnic tables, restrooms, lake/swimming, etc. The waterfall area is very interesting and peaceful. We thoroughly enjoyed the park. There really isn't a lot to do here, so an hour or so would suffice.Unfortunately, you can see much of the hurricane damage and it will be a while before it is back to a complete normal.",Celena B,5.0 of 5 bubbles,Augusta,Georgia,United States,Falling Waters State Parktripadvisorreviews
12/22/2019,"You are outside - by definition its not completely handicap accessible. The falls are nice but really impressive, the sinkhole is nice as well. Ranger at the gate was very nice...",Herb G,4.0 of 5 bubbles,Richmond,Kentucky,United States,Falling Waters State Parktripadvisorreviews
5/6/2019,"Great park, nice, clean and friendly staff.  A lot to offer. You do have to reserve via state Park website.",CBS,5.0 of 5 bubbles,Lexington,Kentucky,United States,Falling Waters State Parktripadvisorreviews
3/1/2020,"It was a nice little park that had nice walking to the falls.  The ""hole"" that the water falls into was not something I could look into as my fear of heights got the best of me, but I enjoyed the view of the falling water, hearing it, experiencing the fresh air and the birds singing.  We saw a monarch as we were walking the trail.  It's a beautiful place and I'm glad we stopped! The walk is easy and flat;  not rugged as some are.",neverfindone,5.0 of 5 bubbles,Grand Haven,Michigan,United States,Falling Waters State Parktripadvisorreviews
9/8/2020,"Honestly,  not the most breathtaking park or waterfall I have ever seen...it still was quite beautiful in its own right.   Easy pathways to walk along.  Some areas would offer difficulties for some physical impairments. ",Curtis U,4.0 of 5 bubbles,Apple Valley,Minnesota,United States,Falling Waters State Parktripadvisorreviews
12/13/2019,"I was hoping to camp here but when I rolled up it was gated and closed, so i came back the next morning to check it out. They keep tight hours and the place is locked up like fort Knox otherwise. Once you get in there is a short trail from the parking lot leading down to the falls. There was a trickle of a falls when I visited, would likely be something to see in a heavy rainfall. The falls get their height from a limestone that has worn away beneath them and basically fall into a small hole in the ground. It's neat but not as amazing as you might  think given the height of the falls. It's worth the $5 entrance fee but if i spent an hour here, i'd be surprised.",TryppAdams,3.0 of 5 bubbles,Minneapolis,Minnesota,United States,Falling Waters State Parktripadvisorreviews
3/21/2019,"The camping area is fairly small, and not as much separation/privacy as most Florida parks.  Also, due to the layout, almost every site has an exceptional view of the restroom/shower.  Especially at night when you would probably rather be enjoying the view of the night sky.The big negative, however, is the excessive slopes in some of the sites.  Due to scheduling we had to move in the middle of our stay.  The first site took every block we had to get level, the next site wasn't as bad; however, it also required a few blocks (in a 32' class C).  If you're in a travel trailer/5th wheel, you probably won't have much of an issue.  The park is still recovering from Hurricane Michael, but the trail to the waterfall was easy to navigate.  The only real issue there is that the lower platform was still damaged.  However, there was still a good view of the waterfall.Finally, the thing we found most odd, was 4 sites out of 24 were assigned to campground hosts.  Seems like overkill.",Billy K,3.0 of 5 bubbles,Livingston,Texas,United States,Falling Waters State Parktripadvisorreviews
7/29/2019,"While we enjoyed visiting this spot, it is extremely tiny with not much to do. It is very well cared for and nice and I do suggest incorporating a visit. I wouldn't recommend a visit only for this however. There was a $5 entrance fee and they open until dusk. The waterfall is a little underwhelming.",Renae H,3.0 of 5 bubbles,Poultney,Vermont,United States,Falling Waters State Parktripadvisorreviews
12/6/2020,A beautiful afternoon in a unique and well kept FL State Park. Colorful serene springs that flow into the Swannee River I recall. Picnic tables and areas under the live oaks draped in Spanish moss. A trail through majestic Cyprus trees. $6 entrance in our car for a relaxing afternoon :-),panamadreamin1,5.0 of 5 bubbles,Panama City,Panam� Province,Panama,Fanning Springs State Parktripadvisorreviews
3/12/2020,"We toured the natural springs all around the area, was glad for this one.  The springs here are not that large, but beautiful in color and very clear.  We did not swim, but it’s set up very nicely if you wanted to.  There’s a walkway to an overlook of the Suwannee River.  A nice outing!",tawny1956,4.0 of 5 bubbles,Millsboro,Delaware,United States,Fanning Springs State Parktripadvisorreviews
10/24/2020,"Very nice park. Swim, relax, cool down from the Florida heat. Not many tourists find their way here. Nice little historical town.",VWtgGgpvCXER4,5.0 of 5 bubbles,Ocala,Florida,United States,Fanning Springs State Parktripadvisorreviews
8/23/2020,"Nice place to go for a hike, picnic or to swim in the springs. Springs are very clear but the water is refreshing. There is plenty of parking and the bathrooms are clean. There are areas roped off but not sure why.",sskroll,5.0 of 5 bubbles,Orlando,Florida,United States,Fanning Springs State Parktripadvisorreviews
6/17/2020,This is a beautiful spring. I could sit and watch it for hours. Nice clean cabins. You must make a reservation way ahead of time. This is a must see. Had a great time here. ,Tesa Owens,5.0 of 5 bubbles,Valparaiso,Florida,United States,Fanning Springs State Parktripadvisorreviews
2/27/2020,"Such a beautiful place!  Fanning Spring is accessable from the park entrance or by boat.  So refreshing to ride in, tie up, and take a dip.  The spring itself is not very deep (3 - 8 feet) and is perfect for just lounging on a float or getting some laps in.  The spring is surrounded by beautiful trees and wildlife.  The park personnel are very friendly and the park is well kept. ",Maria R,5.0 of 5 bubbles,St. Augustine,Florida,United States,Fanning Springs State Parktripadvisorreviews
10/10/2019,"Found in Fanning Springs Florida on the Suwanee river.  Large picnic area, walking trails, luxury cabins and beautiful springs..Come by road or boat.  One draw back.  A natural area so watch for snakes and alligators roaming freely.",BPYC,4.0 of 5 bubbles,Fanning Springs,Florida,United States,Fanning Springs State Parktripadvisorreviews
8/6/2019,Great view of the spring and very nice swimming area alongside with a ramp access. Easy place to launch a canoe in the Suwannee River. ,daleandanna,4.0 of 5 bubbles,Tallahassee,Florida,United States,Fanning Springs State Parktripadvisorreviews
6/6/2019,"We visited the springs for the day and stayed the night in one of the cabins.  The springs are crystal clear, with dock areas for jumping off and stair areas for easing yourself into the very chilly water.  There are tubes and pool noodles available to rent.  There are many picnic tables surrounding the spring area to eat at, restroom facilities, a small playground and small walking trail.  The cabin was very clean and we loved the wraparound porch which had a picnic table within it, porch swing and several rocking chairs.  We grilled out for dinner and made a fire for the nighttime..all the benefits of camping with the ability to sleep in a bed with air conditioning and hang out on the covered porch when it got very dark.  We drove to Manatee Springs the next day, which is about 20 minutes away.  I highly recommend the springs and cabins, great area which is family friendly.",realityaddict,5.0 of 5 bubbles,Indian Harbour Beach,Florida,United States,Fanning Springs State Parktripadvisorreviews
4/28/2019,This place is about 5 minutes from our campground we have been going to for a few years now. Beautiful park! We did not go swimming. Maybe next time. Will definitely go back.,Susan C,4.0 of 5 bubbles,Macclenny,Florida,United States,Fanning Springs State Parktripadvisorreviews
6/26/2019,"We stayed a few nights in a cabin while we visited the springs in the area.  At the end of the day, my daughter loved Fanning Springs the best.  This might be because it's quite swimmable and she had it almost to herself the last evening we were there.  We visited Manatee Springs which are quite nice but more narrow so it seemed smaller.  And there were just so many snakes. Like, we lsot count after a while.  We saw them at both parks, but wow, Manatee Springs was a hot spot.  Lots of deer, a fox by our cabin and some armadillos passed through.The drive between the two parks is about 20-30 minutes depending on how you drive.  If you are coming to one you should plan to do the other if only for a quick visit.  Fanning Springs has a nice picnic area, very small concessions, bathrooms, 6 cabins and maybe a few canoe rentals.  Manning Springs has a much larger setup for rentals, great BBQ menu on site (with beer and wine which is odd since there's a sign about no alcohol), bathrooms, picnic area and a regular campground, but no cabins.We visited two county park springs as well.  You must pay, but they have the entire setup as well with maybe a few more park structures such as playsets, etc..  Still like Fanning Springs the best, though.The cabin was ok.  We've stayed in a cabin at a different state park and had kind of the same feeling.  The idea is great and the cabin is so spacious, but it's kind of what they put in there that makes me not love it.  The towels are so paper thin and the kitchen, while stocked, seems like several people used it as an excuse to empty their own kitchens of unwanted utensils.  I think we had close to 15 large serving spoons.  Who needs that many spoons?  The dishwasher is the lowest model possible and really doesn't clean the dishes.  I oddly found myself cleaning dishes someone else put away dirty.It's nice you get your bedding wrapped so that you know it's clean.  However, the quilt I had for my bed, which I actually thought initially was cute and nice, had a large yellow stain on it.  I found this after sleeping in it for one night and that was simply yucky.There are two mismatched couches in the living room.  Each kind of aged looking and one had visible crumbs on it when we arrived.However, as I said, the idea is great.  Basically a home that will host a decent size family with everything you need short of laundry. And the outdoor screened porch is such a nice addition all by itself to be out of the weather or whatever.  The cabins just needs to be better staged.  So many people left glowing reviews in the guest book that I have to wonder what their own homes must be like if they think this place is so incredible.  Sorry, FL state parks.  Your parks rock, but I can't see staying in a cabin again.  The yellow stain was probably the final straw on that one.",JCJake,3.0 of 5 bubbles,Saint Paul,Minnesota,United States,Fanning Springs State Parktripadvisorreviews
6/14/2019,The Spring was crowded on a Wednesday.  The water was clear and beautiful.  There are picnic tables and bathrooms.,funtimefamily12,3.0 of 5 bubbles,Lake Ronkonkoma,New York,United States,Fanning Springs State Parktripadvisorreviews
9/14/2020,"We just finished our second stay.  We really love the peace and quite. The bathrooms are super clean. We have never gotten ticks on us or our dog.  The road is dirt, long and at times has puddles but it’s camping.  We always spray our camp sites with Cutter mosquito spray and never have a issue.  It simply hooks up right to your water hose.  We highly recommend bringing bikes because the terrain is very easy to bike on.  They have a great inlet if you want to kayak and just updated their dock with a kayak launch.  Go check them out!",clickn_christy,5.0 of 5 bubbles,Keystone Heights,Florida,United States,Faver Dykes State Parktripadvisorreviews
6/13/2020,Nice roads and trails but to the last person posting have you been here??? We are not talking a couple of ticks this is covered with dozens in less than 10 minutes sitting on a bench at end of trail. Would not take a pet here and I won't go back unless covered in cutters!,melvira manson,2.0 of 5 bubbles,Daytona Beach,Florida,United States,Faver Dykes State Parktripadvisorreviews
4/13/2019,"We camped in this park for 4 nights at the beginning of April.   Campsites were large and relatively private.  If it weren’t for the ticks we would have enjoyed the park much more but on the very first day, despite laying a camping mat down, ticks were crawling all over my husband and dogs, even with deet and recent tick treatment on the dogs.  Not just a few, but dozens....on each of them!  We spent the next few days extracting ticks and avoiding wooded areas.  It didn’t make much difference however. They just kept coming!    I was never so glad to leave a place in my life and won’t ever return.  Nice park but not nice tick situation.",SueBea2015,2.0 of 5 bubbles,Chincoteague,Virginia,United States,Faver Dykes State Parktripadvisorreviews
5/1/2019,"We have taken two generations of kids there and the caves did not disappoint any of them. We always take a picnic lunch and then visit the cave. An excellent way to spend a day, exploring the park, eating lunch and then caving with the grandkids. Go and visit Florida's only cave.",Ellis Lee P,5.0 of 5 bubbles,Ozark,Alabama,United States,Florida Caverns State Parktripadvisorreviews
1/30/2021,"I got the opportunity to check out this place right before  Christmas. Pandemic protocols are in place which means tours limit the number of guests to ten per tour.Arriving at the park entrance, there's an entrance fee that varies with the number of occupants in your vehicle. Alone, my fee was just $4. There's a picnic area and some walking trails in the park. The caverns area is about a mile from the entrance and there's plenty of parking available. When I went (mid-week), tours were once per hour if I recall correctly...each starting on the top of the hour. I just missed the last one so I had about  45 minutes to kill. The workers in the gift shop (where you sign up for the tour) suggested a short walk to kill some time and also their little museum. In the museum, there's a film about the caverns that you can watch in lieu of doing the tour. Now the tour is an additional fee per person. For a single adult, my fee was $10 plus tax ($10.75 total).Your guide starts the tour outside with some local information. You then do a short walk to the cavern entrance. You go down several steps. You'll make several stops during your tour and your guide will provide you will all sorts of information about the caverns. Now the path inside does get narrow at points and you need to be able to duck down to get under low points. I believe the lowest ledge was 3' 11"". You're not allowed to touch...except for a select stalagmite. You're welcome to take pictures.I've been in several caverns with Carlsbad Caverns being the largest I've been into. This cavern is now the smallest I've been in. That doesn't mean it isn't spectacular in it own right. The biggest difference, in this cavern...you are really close to the walls and ceiling...but remember, ""Please Don't Touch""...yeah, that's how close you are. This cavern is also quite alive...so you'll probably get hit by dripping water several times. I didn't look at my watch, but I think the tour was somewhere between 60-90 minutes.Although I didn't ask specifically, I suspect the cavern itself is unable to become ADA compliant without severely destroying the cavern beauty. Again, you can watch a video tour film in the museum. The gift shop and museum appear to be ADA compliant...but the grade to the gift shop is a bit lengthy from the parking lot.This was a good place to kill some time. Being winter, a lot of trees were bare. I'd imagine things are quite different other times of the year. If you're in the area and have a couple hours, this place is worth the stop.",Kitman,4.0 of 5 bubbles,Oxnard,California,United States,Florida Caverns State Parktripadvisorreviews
12/28/2020,This cave tour was led by Honeybee. She was an absolute delight and a wealth Of knowledge. It was spectacular inside. Lots of different formations and we even saw a bat in the cave. ,TheGatesClan,5.0 of 5 bubbles,Rancho Santa Margarita,California,United States,Florida Caverns State Parktripadvisorreviews
3/12/2020,"We visited in February, 2020, while in the area.  It was a fun outing.  We had a great tour guide, a young female.  Our group was small, so we were able to take our time and enjoy the wonderful cave features.  It’s not the largest cave we’ve been to, but was interesting and fun.  It was not a strenuous walk through, but there is some bending a stooping to get through some of the passages.   There is also a small gift shop there, as well as a small information area upstairs.",tawny1956,5.0 of 5 bubbles,Millsboro,Delaware,United States,Florida Caverns State Parktripadvisorreviews
3/17/2021,"This is a well organized cave tour. The gift shop and museum are nice as well. The caverns were still flooded in some areas, so we weren’t able to see everything, and were given a discount due to this flooding. Wear shoes with good traction and something that can get muddy, as there’s puddles throughout the caverns. It is not a strenuous tour, though some of the passages have low ceilings which require stooping pretty low to get through. They limited each tour to about 15 people, and face coverings were required. This is a must see for cave lovers.",Jessica K,5.0 of 5 bubbles,Tarpon Springs,Florida,United States,Florida Caverns State Parktripadvisorreviews
11/14/2020,"The cave is very interesting and larger than you would expect and you have plenty of time on the tour to enjoy the cave and learn about its history and formation.   I just recently visited the caverns for the tour and due to COVID-19, the tour size has been reduced to 10 people on the tours at one time. Our tour guide was a lovely woman with the nickname of ""Honeybee"" and she was interesting, friendly, knowledgeable and funny.  So, ask for Honeybee when you take your tour.",DestinDonna,4.0 of 5 bubbles,Destin,Florida,United States,Florida Caverns State Parktripadvisorreviews
7/24/2020,"This place was awesome! If you have lived in Florida and never been to a cavern you need to add this to your list. My dad and I went here on our way to Alabama and really thought it was worth the stop. There was a lot of hurricane damage still, but the cavern itself is really fascinating, we even saw a few tiny bats! The tour guide was great and there is a neat information section as well.",Chandler,5.0 of 5 bubbles,Jupiter,Florida,United States,Florida Caverns State Parktripadvisorreviews
3/10/2020,"Our visit coincided with days of bad weather.  The bad was we could only view 80% of the cavern.  The good was we got a private tour from Elissa.  Very knowledgeable young lady and we learned a ton about the caverns.  The museum upstairs is a must see as well.  Again, very informative, three videos are available that tell you about the park, and lots of displays.  We discussed coming back in better weather for a second visit and our guide cautioned us to avoid the summers - the park is crowded and the tour groups fairly large.",Skull76,5.0 of 5 bubbles,Niceville,Florida,United States,Florida Caverns State Parktripadvisorreviews
12/15/2019,"These caves were amazing! The lighting, the atmosphere the personal touch they put during the tour was great. I went as a solo traveler so had to wait for at least one other person to show up. There we some tight spaces to squeeze through but it was still a great time. Get there early and check out my full video review on Youtube just search Mrbucketlist caves that I made as well. Don't miss out on this place!!!",Mrbucketlist,5.0 of 5 bubbles,Clearwater,Florida,United States,Florida Caverns State Parktripadvisorreviews
11/24/2019,Great place to stop for an hour or two. Walking into the caverns underground was neat. Our guide Fidel was very courteous and knowledgeable. ,Holly B,5.0 of 5 bubbles,Bartow,Florida,United States,Florida Caverns State Parktripadvisorreviews
11/22/2019,The electric lights are back on for the cavern tours and they are very nice if a bit pricey at $10 per person for an hour tour. There were just three adults and no children in our group but the guide seemed to give a tour more appropriate for young children. Still a lovely place. Camping and trails still closed with much evidence of the devastation from Hurricane Michael more than a year ago.,Tom M,3.0 of 5 bubbles,Merritt Island,Florida,United States,Florida Caverns State Parktripadvisorreviews
11/2/2019,"It was a long drive from down south but we definitely enjoyed the entire tour, going down the rails to enter the cave, swing how the caves are and the guide explaining how they formed, Brenda our guide was extremely helpful and friendly in every way possible, I definitely recommend going. The entrance was like 5 bucks for the car with 3 people, and the tour was around $10 and change for each person",SantiagoF561,5.0 of 5 bubbles,Sebring,Florida,United States,Florida Caverns State Parktripadvisorreviews
9/17/2019,"They are doing a great job cleaning up from the hurricane a year ago. State Park admission applies. Thankfully the Visitor's Center wasn't damaged and it's got a nice gift shop and educational center to learn about the topography and how caverns, etc. are formed.  The cavern tour is scheduled at different times so it's good to call ahead to find out times.  There is a fee, and they have to  have a minimum of three people to do it for safety reasons, but I was there on a slow Friday morning and there were more than enough people each time.  The tour is about 45 minutes and since the electricity isn't restored yet, bring a flashlight, or purchase one there since the one they loan is not that bright.  The caverns are amazing and well worth trip.  Though it's in the 60s inside you don't need a jacket.  Closed toed shoes are recommended since it's muddy and damp in places.",Osprey 7,5.0 of 5 bubbles,Lake Mary,Florida,United States,Florida Caverns State Parktripadvisorreviews
9/7/2019,"Lovely afternoon with the family, our tour guide was friendly and knowledgeable, the caves are well lit and a cool welcome retreat from the heat. May not be the best excursion for someone with claustrophobic tendencies as you must maneuver through a few very tight spaces or someone afraid of bats...",Franklin Enterprises,5.0 of 5 bubbles,Tallahassee,Florida,United States,Florida Caverns State Parktripadvisorreviews
8/9/2019,"Took our 4yo granddaughter there as it will be the last time we keep her before she goes to school.  Went in to buy tickets and were told you have to have a flashlight, but they will loan you one or/and you can buy one with your ticket for $3 or 5 after.  We bought 1 (SMALL)  and got 2 loaners.  The loaners were not the best , but they were loaners.  When I asked to exchange one that was not working the young woman said ""they are all like that"".  She was rude and not professional.  Needs to be fired!  After that  we had a great time with a good tour guide. Be prepared to duck.  Will go back down the road, hopefully Kristen (I think was her name) will be working at the Circle K by then. (Sorry Circle K)",Vic P,4.0 of 5 bubbles,Tallahassee,Florida,United States,Florida Caverns State Parktripadvisorreviews
2/23/2020,"A great stop to discover the only limestone caves in Florida, with a guided tour that last about an hour.  The natural caves have been expanded to include decent walking paths although it does get a little tight at times with low ceiling heights and narrow passageways.  The added lighting inside makes it easy to see all the formations and the tour guides are all very knowledgeable about the history behind the caves.  Take a jacket as it is a little cooler inside and wear tennis shoes or hiking shoes as some areas are a little wet.  This park looks as if it was really nice at one time but apparently hurricane Katrina left some heavy damage and most other areas are closed.  It is sad to see all the downed trees and lost foliage and greenery...even sadder to think there must not be enough funding to get this park back to where it needs to be.  But don't let that stop you from seeing the caves!  Still worth stopping.",TinkerGirl1959,4.0 of 5 bubbles,Tifton,Georgia,United States,Florida Caverns State Parktripadvisorreviews
6/26/2019,Per website the Caverns reopen on July 10. Check website for further details!  Reopening ceremony will be held on 7/10/19. ,Kelli L,5.0 of 5 bubbles,Atlanta,Georgia,United States,Florida Caverns State Parktripadvisorreviews
12/22/2019,"Hurricane closed most of the park. You pay admission to the park and additional cost for a cave tour. If you do the tour - know it IS a cave, if you are tall or have bad legs, be forewarned it is short and cramped.",Herb G,4.0 of 5 bubbles,Richmond,Kentucky,United States,Florida Caverns State Parktripadvisorreviews
12/13/2019,"Hurricane Michael wiped out pretty much everything but the cave. You pay $4 to enter the park but can only go to the cave or look at the downed trees. I arrived a little before 9am and the 1st scheduled tour, apparently they need 3 people to conduct the tour and thankfully a couple showed up. The tour was $10.75. The cave has some good formations, our guide was ok, he kind of fell into a routine of saying ""watch your head, watch your feet"" whenever he didn't know what else to say or suggest we should move along. If you are in the area, it's nice to have a cave experience nearby but i'm not sure I would seek it out.",TryppAdams,3.0 of 5 bubbles,Minneapolis,Minnesota,United States,Florida Caverns State Parktripadvisorreviews
